,id,char,freq
981,981,눕,1
982,982,쾅,1
983,983,잊,5
984,984,썩,2
985,985,푹,1
986,986,쭤,1
987,987,갬,3
988,988,굽,1
989,989,렐,1
990,990,렜,1
991,991,쌈,3
992,992,냉,5
993,993,햇,1
994,994,닭,8
995,995,쿨,2
996,996,링,2
997,997,흡,8
998,998,뜩,2
999,999,콧,1
1000,1000,벤,3
1001,1001,딨,1
1002,1002,썸,2
1003,1003,겉,3
1004,1004,뉴,6
1005,1005,얌,3
1006,1006,쵸,1
1007,1007,옹,4
1008,1008,흥,2
1009,1009,윤,9
1010,1010,씌,2
1011,1011,N,1
1012,1012,꽝,2
1013,1013,쁨,1
1014,1014,멤,3
1015,1015,칼,1
1016,1016,멋,4
1017,1017,쾌,1
1018,1018,짱,2
1019,1019,G,1
1020,1020,랩,1
1021,1021,뜯,4
1022,1022,잇,1
1023,1023,헐,1
1024,1024,엠,3
1025,1025,뷸,3
1026,1026,쇄,2
1027,1027,뱉,4
1028,1028,깰,2
1029,1029,섬,3
1030,1030,줍,1
1031,1031,꼴,3
1032,1032,겟,1
1033,1033,찡,1
1034,1034,즉,1
1035,1035,핀,1
1036,1036,둬,3
1037,1037,슴,2
1038,1038,팍,2
1039,1039,젯,1
1040,1040,빽,3
1041,1041,꽁,3
1042,1042,펑,4
1043,1043,덧,7
1044,1044,맺,1
1045,1045,벼,2
1046,1046,빔,1
1047,1047,륜,2
1048,1048,젠,3
1049,1049,봄,1
1050,1050,궂,1
1051,1051,닦,1
1052,1052,띠,5
1053,1053,뻘,2
1054,1054,땅,3
1055,1055,샜,1
1056,1056,걘,3
1057,1057,F,3
1058,1058,쭝,1
1059,1059,딘,1
1060,1060,껜,2
1061,1061,뵈,1
1062,1062,뻥,2
1063,1063,찔,1
1064,1064,맵,2
1065,1065,핥,1
1066,1066,샴,1
1067,1067,깡,1
1068,1068,텔,5
1069,1069,삔,1
1070,1070,뵙,1
1071,1071,댔,1
1072,1072,삿,3
1073,1073,O,5
1074,1074,겄,3
1075,1075,뜸,1
1076,1076,롭,5
1077,1077,뺐,2
1078,1078,률,1
1079,1079,쓴,1
1080,1080,핏,5
1081,1081,갯,1
1082,1082,휩,1
1083,1083,E,2
1084,1084,촬,1
1085,1085,싹,2
1086,1086,펴,1
1087,1087,킹,1
1088,1088,럿,1
1089,1089,펌,2
1090,1090,앵,2
1091,1091,츄,2
1092,1092,콕,1
1093,1093,꼽,2
1094,1094,툼,1
1095,1095,콩,2
1096,1096,귓,1
1097,1097,슝,1
1098,1098,깁,1
1099,1099,뛴,1
1100,1100,눌,1
1101,1101,잃,4
1102,1102,힐,3
1103,1103,탑,2
1104,1104,뀔,1
1105,1105,릎,2
1106,1106,푼,1
1107,1107,왓,1
1108,1108,쏟,1
1109,1109,뱃,1
1110,1110,텝,1
1111,1111,퀴,1
1112,1112,괘,1
1113,1113,뉸,1
1114,1114,렴,1
1115,1115,핵,1
